paper_id,date,year,phase_1931plus,explicit_she_title,women_implicit,education_topic,editorial,female_creator,headline_len,sentiment_score,sentiment_label,cluster_id
民立报,1911-12-03,1911,0,0,0,0,0,0,6,0.7619105405068044,positive,
京都日报,1911-12-22,1911,0,0,0,0,0,0,9,0.9842095327414144,positive,
民立报,1911-12-23,1911,0,0,0,0,0,0,13,0.9451837330271068,positive,
民立报,1911-12-31,1911,0,0,0,0,0,0,7,0.14314214138444847,negative,
民立报,1912-01-02,1912,0,0,0,0,0,0,4,0.031151915867076774,negative,
民立报,1912-01-03,1912,0,0,0,0,0,0,7,0.49174374429047174,neutral,
民立报,1912-01-03,1912,0,0,0,0,0,0,2,0.7926448432462224,positive,
民立报,1912-02-01,1912,0,0,0,0,0,0,7,0.8389152532884607,positive,
民立报,1912-02-06,1912,0,0,0,0,0,0,10,0.09518863614463513,negative,
绍兴公报,1912-02-19,1912,0,0,0,0,0,0,12,0.2738550736288644,negative,
共和急进报,1912-02-24,1912,0,0,0,0,0,0,10,0.6905579584691065,positive,
绍兴公报,1912-02-28,1912,0,0,0,0,0,0,8,0.4354153213166351,negative,
绍兴公报,1912-03-04,1912,0,0,0,0,0,0,6,0.44767845850986676,negative,
民立报,1912-03-08,1912,0,0,0,0,0,0,12,0.9051383621563646,positive,
绍兴公报,1912-03-09,1912,0,0,0,0,0,0,5,0.8437938897592073,positive,
民立报,1912-03-23,1912,0,0,0,0,0,0,2,0.7926448432462224,positive,
民立报,1912-03-26,1912,0,0,0,0,0,0,7,0.09185221907209151,negative,
民立报,1912-03-30,1912,0,0,0,0,0,0,4,0.7193448335537342,positive,
民立报,1912-04-01,1912,0,0,0,0,0,0,10,0.9402494214050081,positive,
民立报,1912-04-07,1912,0,0,0,0,0,0,7,0.4964434503285997,neutral,
民立报,1912-04-27,1912,0,0,0,0,0,0,6,0.8591594095610392,positive,
民立报,1912-05-06,1912,0,0,0,0,0,0,2,0.7926448432462224,positive,
民立报,1912-05-08,1912,0,0,0,0,0,0,16,0.8803695032234735,positive,
国是报(重庆),1912-05-11,1912,0,0,0,0,0,0,4,0.19559952243534506,negative,
民立报,1912-05-12,1912,0,0,0,0,0,0,8,0.6063825848579203,positive,
民立报,1912-05-31,1912,0,0,0,0,0,0,8,0.19497289938868256,negative,
民立报,1912-06-16,1912,0,0,0,0,0,0,6,0.5553025478067661,positive,
民立报,1912-06-18,1912,0,0,0,0,0,0,7,0.6748661503899444,positive,
民立报,1912-06-29,1912,0,0,0,0,0,0,7,0.8050907870761298,positive,
民立报,1912-07-22,1912,0,0,0,0,0,0,2,0.7926448432462224,positive,
民立报,1912-08-10,1912,0,0,0,0,0,0,2,0.7926448432462224,positive,
民立报,1912-10-03,1912,0,0,0,0,0,0,32,0.16116999032961743,negative,
民立报,1912-10-03,1912,0,0,0,0,0,0,18,0.9868003375759723,positive,
民立报,1912-10-18,1912,0,0,0,0,0,0,4,0.6682801852619523,positive,
民立报,1912-11-15,1912,0,0,0,0,0,0,2,0.7926448432462224,positive,
民立报,1912-11-18,1912,0,0,0,0,0,0,10,0.44767845850986676,negative,
民立报,1912-11-20,1912,0,0,0,0,0,0,3,0.36572569315150527,negative,
民立报,1912-11-22,1912,0,0,0,0,0,0,7,0.5058294432961389,neutral,
